group,variable,value
h13,v18,10
h13,v19,0
h13,v20,0
h13,v21,0
h13,v22,0
h13,v23,0
h13,v24,0
h13,v25,0
h13,v26,0
h13,v27,0
h13,v28,0
h13,v29,0
h13,v30,0
h13,v31,0
h14,v1,0
h14,v2,0
h14,v3,0
h14,v4,0
h14,v5,0
h14,v6,0
h14,v7,0
h14,v8,0
h14,v9,0
h14,v10,0
h14,v11,10
h14,v12,10
h14,v13,10
h14,v14,10
h14,v15,10
h14,v16,10
h14,v17,10
h14,v18,10
h14,v19,0
h14,v20,0
h14,v21,0
h14,v22,0
h14,v23,0
h14,v24,0
h14,v25,0
h14,v26,0
h14,v27,0
h14,v28,0
h14,v29,0
h14,v30,0
h14,v31,0
h15,v1,0
h15,v2,0
h15,v3,0
h15,v4,0
h15,v5,0
h15,v6,0
h15,v7,0
h15,v8,0
h15,v9,0
h15,v10,0
h15,v11,0
h15,v12,0
h15,v13,0
h15,v14,0
h15,v15,0
h15,v16,0
h15,v17,0
h15,v18,0
h15,v19,0
h15,v20,0
h15,v21,0
h15,v22,0
h15,v23,0
h15,v24,0
h15,v25,0
h15,v26,0
h15,v27,0
h15,v28,0
h15,v29,0
h15,v30,0
h15,v31,0
h16,v1,0
h16,v2,0
h16,v3,0
h16,v4,0
h16,v5,0
h16,v6,0
h16,v7,0
h16,v8,0
h16,v9,0
h16,v10,0
h16,v11,0
h16,v12,0
h16,v13,0
h16,v14,0
h16,v15,0
h16,v16,0
h16,v17,0
h16,v18,0
h16,v19,0
h16,v20,0
h16,v21,0
h16,v22,0
h16,v23,0
h16,v24,0
h16,v25,0
h16,v26,0
h16,v27,0
h16,v28,0
h16,v29,0
h16,v30,0
h16,v31,0
h17,v1,0
h17,v2,0
h17,v3,0
h17,v4,0
h17,v5,0
h17,v6,0
h17,v7,0
h17,v8,0
h17,v9,0
h17,v10,0
h17,v11,0
h17,v12,0
h17,v13,0
h17,v14,0
h17,v15,0
h17,v16,0
h17,v17,0
h17,v18,0
h17,v19,0
h17,v20,0
h17,v21,0
h17,v22,0
h17,v23,0
h17,v24,0
h17,v25,0
h17,v26,0
h17,v27,0
h17,v28,0
h17,v29,0
h17,v30,0
h17,v31,0
h18,v1,0
h18,v2,0
h18,v3,0
h18,v4,0
h18,v5,0
h18,v6,0
h18,v7,0
h18,v8,0
h18,v9,0
h18,v10,0
h18,v11,0
h18,v12,0
h18,v13,0
h18,v14,0
h18,v15,0
h18,v16,0
h18,v17,0
h18,v18,0
h18,v19,0
h18,v20,0
h18,v21,0
h18,v22,0
h18,v23,0
h18,v24,0
h18,v25,0
h18,v26,0
h18,v27,0
h18,v28,0
h18,v29,0
h18,v30,0
h18,v31,0
h19,v1,0
h19,v2,0
h19,v3,0
h19,v4,0
h19,v5,0
h19,v6,0
h19,v7,0
h19,v8,0
h19,v9,0
h19,v10,0
h19,v11,0
h19,v12,0
h19,v13,0
h19,v14,0
h19,v15,0
h19,v16,0
h19,v17,0
h19,v18,0
h19,v19,0
h19,v20,0
h19,v21,0
h19,v22,0
h19,v23,0
h19,v24,0
h19,v25,0
h19,v26,0
h19,v27,0
h19,v28,0
h19,v29,0
h19,v30,0
h19,v31,0
h20,v1,0
h20,v2,0
h20,v3,0
h20,v4,0
h20,v5,0
h20,v6,0
h20,v7,0
h20,v8,0
h20,v9,0
h20,v10,0
h20,v11,0
h20,v12,0
h20,v13,0
h20,v14,0
h20,v15,0
h20,v16,0
h20,v17,0
h20,v18,0
h20,v19,0
h20,v20,0
h20,v21,0
h20,v22,0
h20,v23,0
h20,v24,0
h20,v25,0
h20,v26,0
h20,v27,0
h20,v28,0
h20,v29,0
h20,v30,0
h20,v31,0
h21,v1,0
h21,v2,0
h21,v3,0
h21,v4,0
h21,v5,0
h21,v6,0
h21,v7,0
h21,v8,0
h21,v9,0
h21,v10,0
h21,v11,0
h21,v12,0
h21,v13,0
h21,v14,0
h21,v15,0
h21,v16,0
h21,v17,0
h21,v18,0
h21,v19,0
h21,v20,0
h21,v21,0
h21,v22,0
h21,v23,0
h21,v24,0
h21,v25,0
h21,v26,0
h21,v27,0
h21,v28,0
h21,v29,0
h21,v30,0
h21,v31,0
h22,v1,0
h22,v2,0
h22,v3,0
h22,v4,0
h22,v5,0
h22,v6,0
h22,v7,0
h22,v8,0
h22,v9,0
h22,v10,0
h22,v11,0
h22,v12,0
h22,v13,0
h22,v14,0
h22,v15,0
h22,v16,0
h22,v17,0
h22,v18,0
h22,v19,0
h22,v20,0
h22,v21,0
h22,v22,0
h22,v23,0
h22,v24,0
h22,v25,0
h22,v26,0
h22,v27,0
h22,v28,0
h22,v29,0
h22,v30,0
h22,v31,0
h23,v1,0
h23,v2,0
h23,v3,0
h23,v4,0
h23,v5,0
h23,v6,0
h23,v7,0
h23,v8,0
h23,v9,0
h23,v10,0
h23,v11,0
h23,v12,0
h23,v13,0
h23,v14,0
h23,v15,0
h23,v16,0
h23,v17,0
h23,v18,0
h23,v19,0
h23,v20,0
h23,v21,0
h23,v22,0
h23,v23,0
h23,v24,0
h23,v25,0
h23,v26,0
h23,v27,0
h23,v28,0
h23,v29,0
h23,v30,0
h23,v31,0
h24,v1,0
h24,v2,0
h24,v3,0
h24,v4,0
h24,v5,0
h24,v6,0
h24,v7,0
h24,v8,0
h24,v9,0
h24,v10,0
h24,v11,0
h24,v12,0
h24,v13,0
h24,v14,0
h24,v15,0
h24,v16,0
h24,v17,0
h24,v18,0
h24,v19,0
h24,v20,0
h24,v21,0
h24,v22,0
h24,v23,0
h24,v24,0
h24,v25,0
h24,v26,0
h24,v27,0
h24,v28,0
h24,v29,0
h24,v30,0
h24,v31,0
h25,v1,0
h25,v2,10
h25,v3,10
h25,v4,10
h25,v5,0
h25,v6,0
h25,v7,0
h25,v8,0
h25,v9,0
h25,v10,0
h25,v11,0
h25,v12,0
h25,v13,0
h25,v14,0
h25,v15,0
h25,v16,0
h25,v17,0
h25,v18,0
h25,v19,0
h25,v20,0
h25,v21,0
h25,v22,0
h25,v23,0
h25,v24,0
h25,v25,0
h25,v26,0
h25,v27,0
h25,v28,0
h25,v29,0
h25,v30,0
h25,v31,0
h26,v1,0
h26,v2,10
h26,v3,10
h26,v4,10
h26,v5,0
h26,v6,0
h26,v7,0
h26,v8,0
h26,v9,0
h26,v10,0
h26,v11,0
h26,v12,0
h26,v13,0
h26,v14,0
h26,v15,0
h26,v16,0
h26,v17,0
h26,v18,0
h26,v19,0
h26,v20,0
h26,v21,0
h26,v22,0
h26,v23,0
h26,v24,0
h26,v25,0
h26,v26,0
h26,v27,0
h26,v28,0
h26,v29,0
h26,v30,0
h26,v31,0
h27,v1,0
h27,v2,10
h27,v3,10
h27,v4,10
h27,v5,0
h27,v6,0
h27,v7,0
h27,v8,0
h27,v9,0
h27,v10,0
h27,v11,0
h27,v12,0
h27,v13,0
h27,v14,0
h27,v15,0
h27,v16,0
h27,v17,0
h27,v18,0
h27,v19,0
h27,v20,0
h27,v21,0
h27,v22,0
h27,v23,0
h27,v24,0
h27,v25,0
h27,v26,0
h27,v27,0
h27,v28,0
h27,v29,0
h27,v30,0
h27,v31,0
h28,v1,0
h28,v2,10
h28,v3,10
h28,v4,10
h28,v5,0
h28,v6,0
h28,v7,0
h28,v8,0
h28,v9,0
h28,v10,0
h28,v11,0
h28,v12,0
h28,v13,0
h28,v14,0
h28,v15,0
h28,v16,0
h28,v17,0
h28,v18,0
h28,v19,0
h28,v20,0
h28,v21,0
h28,v22,0
h28,v23,0
h28,v24,0
h28,v25,0
h28,v26,0
h28,v27,0
h28,v28,0
h28,v29,0
h28,v30,0
h28,v31,0
h29,v1,0
h29,v2,0
h29,v3,0
h29,v4,0
h29,v5,0
h29,v6,0
h29,v7,0
h29,v8,0
h29,v9,0
h29,v10,0
h29,v11,0
h29,v12,0
h29,v13,0
h29,v14,0
h29,v15,0
h29,v16,0
h29,v17,0
h29,v18,0
h29,v19,0
h29,v20,0
h29,v21,0
h29,v22,0
h29,v23,0
h29,v24,0
h29,v25,0
h29,v26,0
h29,v27,0
h29,v28,0
h29,v29,0
h29,v30,0
h29,v31,0
